[Wed Jan 05 14:06:19.666104 2022] [php7:error] [pid 20247] [client 10.10.8.79:60548] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:08:54.542712 2022] [php7:error] [pid 20934] [client 10.10.8.79:60556] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:08:59.307757 2022] [php7:error] [pid 20938] [client 10.10.8.79:60564] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:09:04.698758 2022] [php7:error] [pid 21217] [client 10.10.8.79:60566] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Wed Jan 05 14:09:09.918451 2022] [php7:error] [pid 21469] [client 10.10.8.79:60568] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:09:12.303844 2022] [php7:error] [pid 21469] [client 10.10.8.79:60568] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:55:36.692511 2022] [php7:error] [pid 4948] [client 10.10.8.79:60646] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Wed Jan 05 14:55:40.180154 2022] [php7:error] [pid 4950] [client 10.10.8.79:60650] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:55:42.300550 2022] [php7:error] [pid 4950] [client 10.10.8.79:60650] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:55:43.814126 2022] [php7:error] [pid 4949] [client 10.10.8.79:60648] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk/view?id=1
[Wed Jan 05 14:55:45.872962 2022] [php7:error] [pid 4949] [client 10.10.8.79:60648] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:55:48.322181 2022] [php7:error] [pid 4949] [client 10.10.8.79:60648] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk/view?id=3
[Wed Jan 05 14:55:50.049588 2022] [php7:error] [pid 4949] [client 10.10.8.79:60648] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:55:51.971934 2022] [php7:error] [pid 4951] [client 10.10.8.79:60652] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk/view?id=1
[Wed Jan 05 14:55:56.225020 2022] [php7:error] [pid 4951] [client 10.10.8.79:60652] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:55:58.932887 2022] [php7:error] [pid 4951] [client 10.10.8.79:60652] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk/view?id=5
[Wed Jan 05 14:56:00.531597 2022] [php7:error] [pid 4951] [client 10.10.8.79:60652] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:56:05.089642 2022] [php7:error] [pid 5292] [client 10.10.8.79:60654] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:56:09.848108 2022] [php7:error] [pid 5292] [client 10.10.8.79:60654] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/user/create
[Wed Jan 05 14:56:12.185861 2022] [php7:error] [pid 5292] [client 10.10.8.79:60654] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 16:11:50.323309 2022] [php7:error] [pid 31396] [client 10.10.8.79:60740] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 16:11:52.856653 2022] [php7:error] [pid 31396] [client 10.10.8.79:60740] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 16:11:54.664727 2022] [php7:error] [pid 31396] [client 10.10.8.79:60740] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Wed Jan 05 16:11:55.939746 2022] [php7:error] [pid 31396] [client 10.10.8.79:60740] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 16:14:29.809750 2022] [php7:error] [pid 32425] [client 10.10.8.79:60768] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 16:14:31.275414 2022] [php7:error] [pid 32425] [client 10.10.8.79:60768] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Wed Jan 05 16:14:41.673633 2022] [php7:error] [pid 32433] [client 10.10.8.79:60782] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 16:14:43.303713 2022] [php7:error] [pid 32434] [client 10.10.8.79:60784] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart
[Wed Jan 05 16:15:06.202087 2022] [php7:error] [pid 310] [client 10.10.8.79:60788] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart
[Wed Jan 05 16:15:09.401168 2022] [php7:error] [pid 310] [client 10.10.8.79:60788] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart/view?id=1
[Wed Jan 05 16:15:20.174975 2022] [php7:error] [pid 313] [client 10.10.8.79:60794] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart
[Wed Jan 05 16:16:23.877221 2022] [php7:error] [pid 663] [client 10.10.8.79:60802] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart/index
[Wed Jan 05 21:37:32.366408 2022] [php7:error] [pid 15114] [client 10.10.8.79:33846] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart
[Wed Jan 05 21:38:52.298705 2022] [php7:error] [pid 15456] [client 10.10.8.79:33858] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart/view?id=1
[Wed Jan 05 21:38:57.471902 2022] [php7:error] [pid 15458] [client 10.10.8.79:33862] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 21:39:38.888415 2022] [php7:error] [pid 15989] [client 10.10.8.79:33864] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/cart
[Wed Jan 05 21:39:52.090804 2022] [php7:error] [pid 15990] [client 10.10.8.79:33866] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 21:39:53.709770 2022] [php7:error] [pid 15990] [client 10.10.8.79:33866] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Wed Jan 05 21:40:01.595369 2022] [php7:error] [pid 15991] [client 10.10.8.79:33868] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 21:40:03.371022 2022] [php7:error] [pid 15991] [client 10.10.8.79:33868] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/admin
[Wed Jan 05 21:40:05.127408 2022] [php7:error] [pid 15991] [client 10.10.8.79:33868] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/course
[Wed Jan 05 21:42:38.430585 2022] [php7:error] [pid 17013] [client 10.10.8.79:33872] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 21:42:39.665801 2022] [php7:error] [pid 17013] [client 10.10.8.79:33872] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/user/create
[Wed Jan 05 21:50:22.949405 2022] [php7:error] [pid 19736] [client 10.10.8.79:34184] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/user/create
[Wed Jan 05 21:50:23.821624 2022] [php7:error] [pid 19740] [client 10.10.8.79:34192] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/user/create
[Wed Jan 05 21:50:24.822662 2022] [php7:error] [pid 19740] [client 10.10.8.79:34192] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
